1,promenade,산책
2,minimumpurchase,1회의 최저 판매량
3,threescore,70세
4,onthelatch,걸쇠만 걸고
5,blackswan,검은고니
6,findonestongue,겨우 말문이 열리다
7,marginalman,경계인
8,leaveapersoninthelurch,곤경에 빠져 있는 것을 모른 체하다
9,schoolman,교수
10,forwhatitisworth,그런대로
11,foreedge,단면
12,themajorprophets,대예언서
13,turnturtle,뒤집히다
14,practicaljoke,짓궂은 장난
15,holdwater,물이 새지 않다
16,forejudge,박탈하다
17,forjudge,박탈하다
18,mar,망치다
19,verylight,아주 가벼운
20,cutlikeaknife,살을 에는 듯하다
21,tallow,살찌게 하다
22,takekindly,선의로 해석하다
23,thumbmark,손가락 자국
24,keepopenhouse,손님을 환대하다
25,fromthewood,술통에서 갓 낸
26,getoffthemark,스타트하다
27,matin,아침 기도
28,abovewater,곤경을 벗어나서
29,schoolmarmish,여선생 같은
30,brownmajor,연장의 큰 브라운
31,onthemake,돈벌이에 열중하여
32,midway,중간쯤에
33,beinwear,유행하고 있다
34,makeone,일원이 되다
35,cleantheslate,일체 백지로 돌리다
36,comeintoonesown,자기의 것이 되다
37,mountrideoneshobby,자기 자랑을 늘어놓다
38,lookwise,점잔 빼다
39,beoneself,정상이다
40,calltoorder,정숙을 명하다
41,midrib,주맥
42,host,주인
43,makeapersonturninhisgrave,죽어서도 눈을 못 감게 하다
44,doginthemanger,짓궂은 사람
45,commonscold,쨍쨍거리는 여자
46,machinereadable,처리할 수 있는
47,grossnettonnage,총톤수
48,major,큰쪽의
49,blowakiss,키스를 보내다
50,inbythelump,통틀어
51,oblige,하여주다
52,marine,해병대
53,editiondeluxe,호화판
54,keg,100파운드
55,thebestten,10걸
56,mixedtithe,10분의 1의 세
57,tenth,10일
58,adar,12월
59,cinquecento,16세기
60,tier,1단
61,primarycoolant,1차 냉각수
62,primarywall,1차막
63,counterpart,1통
64,freshman,1학년생의
65,crap,2개의 주사위를 굴리어 나온 질 숫자
66,halfblue,2군 선수
67,touristclass,2등
68,gemini,2인승 우주선
69,triploid,3배수의
70,threecolour,3색판
71,wantad,3행 광고
72,fourcolorconjecture,4색 가설
73,jauntingcar,4인용 2륜마차
74,quadraphonic,4채널방식
75,fourstroke,4행정의
76,maidmarian,5월의 여왕
77,diamondsilverjubilee,60년제
78,six,6배의
79,novena,9일기도
80,tokenvote,가 지출결의
81,pricefixing,가격 협정
82,proximal,가까운
83,keep,가까이 못하게 하다
84,onceinawhile,가끔
85,catswhisker,가는 철사
86,squint,가늘게 뜨다
87,french,가늘게 자르다
88,thin,가늘게 하다
89,channel,가늘고 긴 홈
90,proged,가닥이 진
91,lockinshutin,가두다
92,fringing,가두리를 꾸민
93,flush,가득찬
94,submerge,가라앉다
95,lull,가라앉히다
96,key,가락을 올리다
97,hedge,가로막다
98,vista,가로수 길
99,tread,가로장
100,puffpaste,가루 반죽
101,frass,가루 부스러기
102,accomplish,가르치다
103,modestypanel,가림 판
104,giveupforlost,가망 없는 것으로 치고 단념하다
105,membernation,가맹국
106,masque,가면극
107,throwoffthemask,가면을 벗다
108,lace,가미하다
109,schoolbag,가방
110,venial,가벼운
111,maid,가사 일만을 맡아 보는 하녀
112,tilt,가상의 적과 싸우다
113,wind,가스
114,manostat,가스 정류장 장치
115,martingale,가슴걸이
116,breastthetape,가슴으로 테이프를 끊다
117,crownofthorns,가시 면류관
118,ahousebuilding,가옥
119,guiderail,가이드 레일
120,least,가장 않다
121,verge,가장자리
122,seaming,가장자리 레이스
123,householdgods,가정 수호신
124,ladyhelp,가정부
125,leather,가죽
126,leash,가죽끈
127,tree,가죽나무
128,umiak,가죽배
129,tap,가죽을 대다
130,lapstone,가죽을 두두리는 받침돌
131,tine,가지
132,menorah,가지가 7개 있는 장식 촛대
133,pruning,가지치기
134,mockturtlesoup,가짜 자라 수프
135,quack,가짜약
136,ticketofleave,가출옥 허가서
137,ticketofleaveman,가출옥자
138,touch,가필하다
139,pulsatance,각 주파수
140,funabout,각종 소형 자동차
141,interval,간격
142,laconism,간결함
143,talkfest,간담회
144,mainline,간선
145,meddling,간섭
146,kitchenet,간이 부엌
147,primaryhealthworker,간이 의료 보조원
148,once,간혹
149,fromlimb,갈기갈기
150,shed,갈다
151,foxmark,갈색 반점
152,beunderward,감금되어 있다
153,takeup,감는 장치
154,vicargeneral,감독 대리
155,undersurveillance,감독을 받고
156,proctor,감독하다
157,saccharine,감미로운
158,melting,감상적인
159,tidewaiter,감시원
160,keepawatch,감시하다
161,watch,감시하다
162,considerationforsthinthefiguringof,감안
163,trailer,감은 끝의 공백의 부분
164,licenseplate,감찰
165,ooze,감탕흙
166,thyroid,갑상 연골
167,allatonce,갑자기
168,outofaclearsky,갑자기
169,flygooffatatangent,갑자기 길로 벗어나다
170,kick,갑자기 되튀다
171,check,갑자기 정지하다
172,hopthetwig,갑작스레 죽다
173,calyptra,갓
174,tabling,갓천
175,coel,강의뜻
176,tiger,강적
177,wish,강제하다
178,tone,강해지다
179,attheendofonestether,갖은 수가 다하여
180,mephistopheleanmephistophelian,같은
181,openaccess,개가식
182,inthegeneral,개괄적으로
183,throwoff,개시
184,privatepatient,개인 부담 환자
185,privatepractice,개인 영업
186,privatepress,개인 인쇄소
187,sheltertent,개인 천막
188,privatism,개인주의
189,son,개자식
190,term,개정기
191,juridical,개정일
192,findsalvation,개종하다
193,houselights,객석조명
194,privatdocent,객원 강사
195,privatdozent,객원 강사
196,visitingprofessor,객원 교수
197,upside,거꾸로
198,overtheleft,거꾸로 말하면
199,megatanker,거대 유조선
200,score,거두다
201,help,거들어서 벗겨주다
202,bigshot,거물
203,veto,거부권
204,tiderips,거센파도
205,fur,거웃
206,kind,거의
207,only,거의 마찬가지
208,toehold,거점
209,crywolf,거짓말을 하여 법석 떨게 하다
210,live,거짓에 가득찬 생활을 보내다
211,makebelieve,거짓잠
212,frogspit,거품
213,frogspittle,거품
214,humming,거품 이는
215,gothevole,건곤일척의 승부를 하다
216,crossingguard,건널목 안전 당번
217,keyboard,건반
218,hutting,건재
219,oasthouse,건조장
220,leg,걷다
221,tuck,걷어 올리다
222,lash,걷어차다
223,lift,걷힘
224,hitch,걸다
225,mopboard,걸레받이널
226,liable,걸리기 쉬운
227,take,걸리다
228,agraffe,걸쇠
229,walk,걸언 가다
230,feelfindoneslegs,걸을 수 있게 되다
231,shuffle,걸치다
232,objectplate,검경관
233,metage,검량
234,yellowbird,검은 방울새의 일종
235,probatecourt,검인 재판소
236,concern,것
237,what,것은 무엇이나
238,crust,겉
239,crawler,겉옷
240,seemingly,겉으로 보기에
241,fortywinks,겉잠
242,haveallonesgoodsinthefrontwindow,겉치례뿐이다
243,andthat,게다가
244,tackboard,게시판
245,write,게시하다
246,winnow,겨를 까부르다
247,spate,격발
248,outofoneslatitude,격에 맞지 않게
249,lattice,격자
250,tide,견뎌내게 하다
251,last,견뎌내다
252,aslantingpointofviewpointofview,견지
253,frazil,결빙
254,lithic,결석의
255,playshootoffthetie,결승 시합을 하다
256,cupfinal,결승전
257,winningpost,결승점
258,fructification,결실
259,hang,결정하지 않다
260,innowise,결코 아니다
261,never,결코 않다
262,logroll,결탁
263,wager,결투재판
264,louse,결판내다
265,lack,결핍되다
266,matchmaking,결혼 중매
267,marriageservice,결혼식
268,unite,겸비하다
269,sickle,겸형 적혈구 빈
270,mitigatingcircumstances,경감 사유
271,hoarstone,경계석
272,onthequivive,경계하여
273,sclerometer,경도계
274,ontheturf,경마를 업으로 하여
275,comeunderthehammer,경매 되다
276,puddlejump,경비행기를 띄우다
277,heel,경사
278,floccinaucinihilipilification,경시
